Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,review_total,review_total_clean,compound,review_tag_vader
30 Rathbone Street West End Westminster Borough London W1T 1LB United Kingdom,199,8/11/2015,8.3,Rathbone, United Kingdom ,No Negative,0,776, No one thing everything was fine Our second visit and feel sure there will be a third ,19,6,10.0,"[' Leisure trip ', ' Couple ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",723 day,51.5186801,-0.1354055,No Negative No one thing everything was fine Our second visit and feel sure there will be a third ,negative one thing everything fine second visit feel sure third,-0.6124,Positive
Carretera Vallvidrera Tibidabo 83 93 Horta Guinard 08035 Barcelona Spain,75,5/18/2016,8.7,Gran Hotel La Florida, United States of America ,No Negative,0,943, Very nice,3,2,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room with City View ', ' Stayed 1 night ']",442 day,41.4253332,2.1211028,No Negative Very nice,negative nice,-0.4228,Positive
52 54 Upper Richmond Road Wandsworth London SW15 2RN United Kingdom,144,12/26/2016,8.2,The Lodge Hotel Putney, Singapore , Wordings of minutes from Tube station was deceiving Lodge was located much further took a half hour walk each way Few buses run through the area hence was really inconvenient Pricey for that location and facilities Early check in was promised when requested on Bookin com but asked to pay extra when we arrived Very dishonest we felt So was overall an unpleasant experience ,66,525, Room was clean ,5,3,4.2,"[' Leisure trip ', ' Family with young children ', ' Superior Twin Room ', ' Stayed 4 nights ']",220 day,51.4572991,-0.2055425, Wordings of minutes from Tube station was deceiving Lodge was located much further took a half hour walk each way Few buses run through the area hence was really inconvenient Pricey for that location and facilities Early check in was promised when requested on Bookin com but asked to pay extra when we arrived Very dishonest we felt So was overall an unpleasant experience  Room was clean ,wording minute tube station deceive lodge locate much take half hour walk way bus run area hence really inconvenient pricey location facility early check promise requested bookin com ask pay extra arrive dishonest felt overall unpleasant experience room clean,-0.8586,Negative
12 rue de Marignan 8th arr 75008 Paris France,91,11/2/2016,8.7,Hotel Marignan Champs Elys es, United Kingdom ,No Negative,0,645, The view was amazing ,6,1,9.6,"[' Leisure trip ', ' Couple ', ' Prestige Double Room with Eiffel Tower View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",274 day,48.8685093,2.3067895,No Negative The view was amazing ,negative view amaze,-0.2732,Positive
Nieuwezijds Voorburgwal 67 Amsterdam City Center 1012 RE Amsterdam Netherlands,440,12/2/2016,8.9,INK Hotel Amsterdam MGallery by Sofitel, Australia ,No Negative,0,2574, The staff were fabulous and so handy to all services ,12,13,10.0,"[' Leisure trip ', ' Couple ', ' Superior King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",244 day,52.3754926,4.8929878,No Negative The staff were fabulous and so handy to all services ,negative staff fabulous handy service,-0.3612,Positive
Calabria 90 92 Eixample 08015 Barcelona Spain,185,9/18/2015,8.8,TWO Hotel Barcelona by Axel 4 Sup Adults Only, United States of America , Nothing,2,2336, Excellent stay loved it Can t wait to come back A ,13,1,10.0,"[' Leisure trip ', ' Couple ', ' Premium Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",685 day,41.37913,2.1561186, Nothing Excellent stay loved it Can t wait to come back A ,nothing excellent stay love wait come back,-0.7306,Positive
3 Kingdom Street Sheldon Square Westminster Borough London W2 6BD United Kingdom,232,6/20/2017,8.5,Novotel London Paddington, United Kingdom ,No Negative,0,1187, Beds were really comfy and hotel was spotless,9,13,9.2,"[' Leisure trip ', ' Group ', ' Superior Room with Queen size bed and Sofa Bed ', ' Stayed 1 night ']",44 days,51.519032,-0.1825943,No Negative Beds were really comfy and hotel was spotless,negative bed really comfy hotel spotless,-0.7096,Positive
30 Rathbone Street West End Westminster Borough London W1T 1LB United Kingdom,199,2/14/2017,8.3,Rathbone, United States of America , Laundry is very expensive and wifi is not free,10,776, Le style est tr s agr able,8,3,8.8,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",170 day,51.5186801,-0.1354055, Laundry is very expensive and wifi is not free Le style est tr s agr able,laundry expensive wifi free le style est tr agr able,-0.4023,Negative
Westeinde 26 Amsterdam City Center 1017 ZP Amsterdam Netherlands,404,12/31/2015,8.4,Boutique Hotel Notting Hill, United Kingdom , Rude staff on arrival Our room was not ready on arrival at 8pm even though we were able to check in from 3pm ,25,2085, Free wifi,3,2,5.4,"[' Leisure trip ', ' Group ', ' Souterrain Triple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",581 day,52.3583821,4.8988777, Rude staff on arrival Our room was not ready on arrival at 8pm even though we were able to check in from 3pm  Free wifi,rude staff arrival room ready arrival even though able check free wifi,-0.2047,Negative
626 Chiswick High St Chiswick London W4 5RY United Kingdom,562,5/24/2017,8.5,Clayton Hotel Chiswick, United Kingdom ,No Negative,0,1944, The ambience was very good,6,3,7.5,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 2 nights ']",71 days,51.4924184,-0.2784701,No Negative The ambience was very good,negative ambience good,-0.4033,Positive
4 Boulevard Raspail 7th arr 75007 Paris France,194,8/3/2016,8.4,K K H tel Cayr Saint Germain des Pr s, Brazil ,No Negative,0,1431, Location breakfast structure,4,13,10.0,"[' Leisure trip ', ' Group ', ' Classic Double or Twin Room ', ' Stayed 5 nights ']",365 day,48.8553117,2.3254628,No Negative Location breakfast structure,negative location breakfast structure,-0.7096,Positive
5 rue du 8 Mai 1945 10th arr 75010 Paris France,710,7/6/2017,7.9,Holiday Inn Paris Gare de l Est, United Arab Emirates , The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience and I do not want anyone else facing the same Please be very careful staying in this hotel ,168,6511,No Positive,0,3,4.6,"[' Leisure trip ', ' Family with young children ', ' Double Room Non Smoking ', ' Stayed 2 nights ']",28 days,48.8758981,2.3590504, The hotel is situated at a place very close to the train station but very unsafe because my purse containing all my belongings 4 passports all cash 2500 euros 1600 swiss francs 1000 aed 4 emirates I D s credit card camera watch iphone etc was stolen within seconds when I was talking to the receptionist in the hotel lobby at the time of checkout The hotel personnel refused to take any credibility refused to show the cctv footage tried to tear the police report on the pretext of taking photocopies for us I still have the torn copies even telling the indian consulate that this did not happen in the hotel I am pretty sure that the hotel staff is in collusion with the thieves as the receptionist saw what was happening as there was no else around me at that time It was a terrible experience and I do not want anyone else facing the same Please be very careful staying in this hotel No Positive,hotel situate place close train station unsafe purse contain belonging passport cash euro swiss franc aed emirates credit card camera watch iphone etc steal within second talk receptionist hotel lobby time checkout hotel personnel refuse take credibility refuse show cctv footage try tear police report pretext take photocopy still tear copy even tell indian consulate happen hotel pretty sure hotel staff collusion thief receptionist saw happen else around time terrible experience want anyone else face please careful stay hotel positive,-0.7135,Neutral
