Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,review_total,review_total_clean,compound,review_tag_vader
Aldwych Westminster Borough London WC2B 4DD United Kingdom,409,8/29/2015,8.4,The Waldorf Hilton, United Kingdom , The worst part of the stay was a leak from the ceiling drenching the bed in a musty yellow liquid which resulted in a slow room change at 0100 The free wifi available in the lobby didn t work ,41,1479, The staff were friendly enough ,7,2,4.6,"[' Leisure trip ', ' Couple ', ' Queen Hilton Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",705 day,51.5131979,-0.1174504, The worst part of the stay was a leak from the ceiling drenching the bed in a musty yellow liquid which resulted in a slow room change at 0100 The free wifi available in the lobby didn t work  The staff were friendly enough ,the worst part of the stay was leak from the ceiling drenching the bed in musty yellow liquid which resulted in slow room change at the free wifi available in the lobby didn work the staff were friendly enough,0.0258,Neutral
Largo Augusto 10 Milan City Center 20122 Milan Italy,398,8/6/2015,8.7,NH Collection Milano President, Saudi Arabia , Wi FI,3,3754, The staff and the locations,6,21,9.2,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",728 day,45.4630685,9.1979367, Wi FI The staff and the locations,wi fi the staff and the locations,0.0,Neutral
Rossell 265 Eixample 08008 Barcelona Spain,91,4/1/2017,8.9,Hotel Omm, Brazil , Gym facility,3,631, Location Staff ,4,62,9.2,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 4 nights ']",124 day,41.3962468,2.1609551, Gym facility Location Staff ,gym facility location staff,0.0,Neutral
Rembrandtplein 26 36 Amsterdam City Center 1017 CV Amsterdam Netherlands,224,1/20/2016,7.7,NH Amsterdam Schiller, United Kingdom , Breakfast didn t know how to make an omelette,10,1667, Location,2,2,5.8,"[' Leisure trip ', ' Family with older children ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",561 day,52.3657092,4.8966912, Breakfast didn t know how to make an omelette Location,breakfast didn know how to make an omelette location,0.0,Negative
92 Rue Du Cherche Midi 6th arr 75006 Paris France,36,6/17/2017,8.9,Hotel Spa La Belle Juliette, Greece , le petit dejeuner,4,303, Night auditor location,4,6,8.8,"[' Business trip ', ' Solo traveler ', ' Suite ', ' Stayed 1 night ']",47 days,48.8474426,2.3223783, le petit dejeuner Night auditor location,le petit dejeuner night auditor location,0.0,Neutral
Via Santa Radegonda 14 Milan City Center 20121 Milan Italy,15,10/6/2015,8.2,TH Street Duomo, Switzerland , after calling the reception 3times the wlan still didn t work cleanliness ,14,172, 3min walk to the Duomo of Milan,8,2,5.4,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",667 day,45.4657568,9.1916674, after calling the reception 3times the wlan still didn t work cleanliness  3min walk to the Duomo of Milan,after calling the reception the wlan still didn work cleanliness walk to the duomo of milan,0.0,Negative
Ferdinand Bolstraat 194 Oud Zuid 1072 LW Amsterdam Netherlands,114,12/8/2015,6.4,Savoy Hotel Amsterdam, Netherlands , Little creatures appeared from outside the wall above our bed A few made it till the bed too ,20,995, Enough Space,3,4,4.2,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 1 night ']",604 day,52.3497431,4.8911908, Little creatures appeared from outside the wall above our bed A few made it till the bed too  Enough Space,little creatures appeared from outside the wall above our bed few made it till the bed too enough space,0.0,Neutral
Coram Street Camden London WC1N 1HT United Kingdom,709,2/14/2017,8.2,Holiday Inn London Bloomsbury, United Kingdom , bathroom was a bit small,6,2995, very convenient location,4,3,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ']",170 day,51.5241248,-0.1258066, bathroom was a bit small very convenient location,bathroom was bit small very convenient location,0.0,Neutral
1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,1274,12/12/2016,7.7,Grand Royale London Hyde Park, United Kingdom ,No Negative,0,6539, COSY AND UNUSUAL LOOKING HOTEL GREAT LOCATION ,9,6,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']",234 day,51.5109945,-0.1863417,No Negative COSY AND UNUSUAL LOOKING HOTEL GREAT LOCATION ,no negative cosy and unusual looking hotel great location,-0.0173,Positive
Wurzbachgasse 21 15 Rudolfsheim F nfhaus 1150 Vienna Austria,168,8/19/2016,8.1,Atlantis Hotel Vienna, Germany , Being 4star hotel except breakfast ,7,2823, Breakfast,2,11,3.8,"[' Leisure trip ', ' Family with older children ', ' Standard Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",349 day,48.2037451,16.3356767, Being 4star hotel except breakfast  Breakfast,being hotel except breakfast breakfast,0.0,Neutral
100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom,176,1/9/2016,8.7,Crowne Plaza London Kensington, Oman , nothing,2,743, everything,2,18,9.6,"[' Couple ', ' Standard Double Room ', ' Stayed 9 nights ', ' Submitted from a mobile device ']",572 day,51.495179,-0.183827, nothing everything,nothing everything,0.0,Neutral
100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,5/3/2017,8.0,Doubletree by Hilton London Kensington, Italy , The room didn t have cold water,8,2367, Location,2,2,5.8,"[' Leisure trip ', ' Solo traveler ', ' Queen Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",92 days,51.4925138,-0.1787917, The room didn t have cold water Location,the room didn have cold water location,0.0,Negative
Via Napo Torriani 24 Central Station 20124 Milan Italy,170,7/25/2016,8.5,Best Western Atlantic Hotel, South Africa , Nothing really,3,1738, Everything especially Location,4,17,8.3,"[' Leisure trip ', ' Couple ', ' Economy Double Room ', ' Stayed 2 nights ']",374 day,45.4830211,9.2033246, Nothing really Everything especially Location,nothing really everything especially location,0.0,Neutral
Bryanston Street Marble Arch Westminster Borough London W1H 7EH United Kingdom,908,1/26/2016,8.5,Amba Hotel Marble Arch, Qatar , cleaning staff,3,3980, location renovation,3,46,8.8,"[' Leisure trip ', ' Group ', ' Deluxe King Room ', ' Stayed 5 nights ']",555 day,51.5144004,-0.1565506, cleaning staff location renovation,cleaning staff location renovation,0.0,Neutral
22 25 Finsbury Square City Islington London EC2A 1DX United Kingdom,461,7/18/2017,9.2,Montcalm Royal London House City of London, Ireland , Nothing,2,1592, Comfiest bed we have ever slept in we overslept ,11,2,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",16 days,51.5218066,-0.0856081, Nothing Comfiest bed we have ever slept in we overslept ,nothing comfiest bed we have ever slept in we overslept,0.0,Positive
